dataset_fold_id,Accuracy__test_neural,Accuracy__test_non-neural,F1__test_neural,F1__test_non-neural,MSE__test_neural,MSE__test_non-neural,Log Loss__test_neural,Log Loss__test_non-neural,alg_name_neural,alg_name_non-neural,time__train_neural,time__train_non-neural,time__test_neural,time__test_non-neural
openml__shuttle__146212__fold_5,0.9989655172413792,0.9998275862068966,0.9987846857231828,0.9997414277139924,,,0.0061545458342378,0.0010871676346085,STG,LightGBM,688.1769071639992,7.289554000999999,0.022008530999301,0.2575021600000013
openml__shuttle__146212__fold_6,0.9996551724137932,0.9994827586206896,0.9994829000929976,0.9994019150752346,,,0.0050046061006613,0.0178648843422016,STG,DecisionTree,550.9502417069998,0.2464571329999927,0.0211785700003019,0.0023706810000021
openml__shuttle__146212__fold_7,0.9993103448275862,1.0,0.999062013597402,1.0,,,0.0058750528490656,0.0003628588024492,STG,XGBoost,687.2447245340009,0.7660442079999825,0.0231272200035164,0.0530370639999944
openml__shuttle__146212__fold_8,0.9956896551724138,0.9998275862068966,0.995465489433908,0.9998180560121884,,,0.0118716822694395,0.0059549614474048,SAINT,DecisionTree,475.4536106739979,0.2296902829999965,0.246354965998762,0.0051359270000261
openml__shuttle__146212__fold_9,0.998448275862069,0.9996551724137932,0.998555371897809,0.9997126058432272,,,0.0079438408099492,0.0011869997002346,STG,LightGBM,685.7678446530008,6.105465389000074,0.0228612239989161,0.0510370150000198
openml__sick__3021__fold_0,0.9894179894179894,0.992063492063492,0.9894179894179894,0.992063492063492,,,0.0329540711202575,0.0218988141958235,rtdl_FTTransformer,CatBoost,39.57926958400003,1.8940658110000184,0.0604054519999408,0.0076473539999142
openml__sick__3021__fold_1,0.9814814814814816,0.992063492063492,0.9814814814814816,0.992063492063492,,,0.0298138625928134,0.0176816175335986,rtdl_FTTransformer,CatBoost,44.52620230799994,1.8772788750000016,0.0585164600001917,0.0071294660000376
openml__sick__3021__fold_2,0.9708222811671088,0.9893899204244032,0.9708222811671088,0.9893899204244032,,,0.0698388163580491,0.0343481830570757,rtdl_FTTransformer,XGBoost,43.71742405199984,0.179663895,0.060693213000377,0.0051804619999997
openml__sick__3021__fold_3,0.9681697612732096,0.9840848806366048,0.9681697612732096,0.9840848806366048,,,0.0874011353165774,0.0381662629682256,rtdl_FTTransformer,CatBoost,44.26634300400019,11.892127666999954,0.0587485860000924,0.0163791319999973
openml__sick__3021__fold_4,0.9787798408488064,0.986737400530504,0.9787798408488064,0.986737400530504,,,0.0675942694252971,0.0288355686263596,rtdl_FTTransformer,CatBoost,43.52987264399962,1.842153934999942,0.0581083580000267,0.0145910360000698
openml__sick__3021__fold_5,0.9893899204244032,0.9946949602122016,0.9893899204244032,0.9946949602122016,,,0.0267618296438885,0.0240424328235261,rtdl_FTTransformer,CatBoost,44.18131917799974,7.067029884000021,0.0596634009998524,0.0173042889999806
openml__sick__3021__fold_6,0.9708222811671088,0.9920424403183024,0.9708222811671088,0.9920424403183024,,,0.0682935872506226,0.0289410078580698,DANet,CatBoost,198.0042852890001,1.3072651270000506,0.0516345180003554,0.0080784639999365
openml__sick__3021__fold_7,0.9761273209549072,0.9920424403183024,0.9761273209549072,0.9920424403183024,,,0.0715730419958044,0.0295641029947626,rtdl_FTTransformer,LightGBM,28.93922562699981,0.0917798950000019,0.0591124669999771,0.0007887599999989
openml__sick__3021__fold_8,0.986737400530504,0.986737400530504,0.986737400530504,0.986737400530504,,,0.0452516429035052,0.0374499553327498,rtdl_FTTransformer,CatBoost,38.35866852700019,2.506300388,0.0584493249998558,0.0076256380000003
openml__sick__3021__fold_9,0.9893899204244032,0.9946949602122016,0.9893899204244032,0.9946949602122016,,,0.0556248607186832,0.013794785451151,rtdl_FTTransformer,LightGBM,27.270219571999405,0.6001979530000057,0.0596303559996158,0.0042226269999972
openml__skin-segmentation__9965__fold_0,0.9992246796702848,0.9995103240022852,0.9992246796702848,0.9995103240022852,,,0.0029006632314769,0.0014807918291333,MLP,LightGBM,483.1154458270012,3.647210321,0.1772315220005111,0.1072854110000003
openml__skin-segmentation__9965__fold_1,0.9994287113359992,0.9995103240022852,0.9994287113359992,0.9995103240022852,,,0.0022873068661852,0.0024327465388845,MLP,LightGBM,453.735481746,4.600675606000001,0.1781760780013428,0.1507616449999993
openml__skin-segmentation__9965__fold_2,0.9993062923365706,0.9994287113359992,0.9993062923365706,0.9994287113359992,,,0.0029946413270383,0.0020296103980358,MLP,XGBoost,446.3837353150011,0.429286516000019,0.1816895949996251,0.0709662309999998
openml__skin-segmentation__9965__fold_3,0.9993470986697136,0.9994695176691424,0.9993470986697136,0.9994695176691424,,,0.0029765421784191,0.0023285311535735,MLP,LightGBM,533.3004173910012,7.092514661999985,0.1802735829987796,0.2456501240000079
openml__skin-segmentation__9965__fold_4,0.9997143556679996,0.9997959683342856,0.9997143556679996,0.9997959683342856,,,0.0016512303783972,0.001068749731147,MLP,LightGBM,471.6507205499984,6.881245048999972,0.1793276259995764,0.1979252879999649
openml__skin-segmentation__9965__fold_5,0.999551130335428,0.9992246796702848,0.999551130335428,0.9992246796702848,,,0.0024927493546217,0.0030475606922463,MLP,XGBoost,534.1913805610002,0.3615138099999058,0.1847440330002427,0.057286222000016
openml__skin-segmentation__9965__fold_6,0.9994287113359992,0.9994695176691424,0.9994287113359992,0.9994695176691424,,,0.0026524536832527,0.0018677388941995,MLP,XGBoost,533.2004007329997,0.2383704239999815,0.1798198339965893,0.0390387919999852
openml__skin-segmentation__9965__fold_7,0.9991430320342788,0.9995511120179555,0.9991430320342788,0.9995511120179555,,,0.0035033812288389,0.0020469288102527,MLP,LightGBM,533.548694983001,3.880841286999996,0.1828813050015014,0.0852061470000009
openml__skin-segmentation__9965__fold_8,0.99946949602122,0.9993062640277496,0.99946949602122,0.9993062640277496,,,0.0019580533392724,0.00228060631907,MLP,XGBoost,472.3650242679996,0.3736029550000239,0.1834202780009945,0.0576427390000162
openml__skin-segmentation__9965__fold_9,0.9995103040195878,0.9995511120179555,0.9995103040195878,0.9995511120179555,,,0.0023260850491862,0.0012825531398087,MLP,LightGBM,370.841758053999,5.438860042999977,0.1794570559995918,0.1139416390000178
